review_id,text,rating,label,restaurant_id,text_clean,text_tokenized
1,这家店太让人失望了，味道不正宗，叫半天没人理，空间很小很挤，再也不来了！推荐给大家！,1,0,2,这家店太让人失望了 味道不正宗 叫半天没人理 空间很小很挤 再也不来了 推荐给大家,这家 失望 味道 正宗 半天 人理 空间 很小 很挤 再也 不来 推荐 大家
2,客观评价，口感很丰富，而且笑容很亲切，环境很干净，性价比很高，会再来的。！,4,1,1,客观评价 口感很丰富 而且笑容很亲切 环境很干净 性价比很高 会再来的,客观 评价 口感 丰富 而且 笑容 亲切 环境 干净 性价比
3,不得不说，味道不正宗，而且骨碟堆成山也不换，灯光很昏暗，完全不值这个价，后悔来了。,2,0,23,不得不说 味道不正宗 而且骨碟堆成山也不换 灯光很昏暗 完全不值这个价 后悔来了,不得不 味道 正宗 而且 骨碟 成山 不换 灯光 昏暗 完全 不值 后悔
4,客观评价，这家店太让人失望了，味道不正宗，问什么都不知道，卫生做得很差，再也不来了！,1,0,40,客观评价 这家店太让人失望了 味道不正宗 问什么都不知道 卫生做得很差 再也不来了,客观 评价 这家 失望 味道 正宗 知道 卫生 再也 不来
5,讲真，网上评价那么好，实际分量很少，服务员爱答不理，装修很老旧，名不副实！,1,0,25,讲真 网上评价那么好 实际分量很少 服务员爱答不理 装修很老旧 名不副实,讲真 网上 评价 那么 实际 分量 很少 服务员 爱答不理 装修 老旧 名不副实
6,朋友推荐来的，招牌菜名不虚传，有求必应，灯光很温馨，果然名不虚传！,4,1,30,朋友推荐来的 招牌菜名不虚传 有求必应 灯光很温馨 果然名不虚传,朋友 推荐 招牌菜 名不虚传 有求必应 灯光 温馨 果然 名不虚传
7,不得不说，公司团建选的这里，口味很地道，有求必应，环境很干净，同事们都说好！👍,4,1,37,不得不说 公司团建选的这里 口味很地道 有求必应 环境很干净 同事们都说好,不得不 公司 团建 这里 口味 地道 有求必应 环境 干净 同事 说好
8,讲真，网上评价那么好，实际口味一般般，问什么都不知道，音乐很吵，名不副实！,3,0,17,讲真 网上评价那么好 实际口味一般般 问什么都不知道 音乐很吵 名不副实,讲真 网上 评价 那么 实际 口味 一般般 知道 音乐 名不副实
9,等了一个小时才上菜，汤底很寡淡，全程黑脸，音乐很吵，太影响心情了！推荐给大家！,2,0,8,等了一个小时才上菜 汤底很寡淡 全程黑脸 音乐很吵 太影响心情了 推荐给大家,小时 上菜 汤底 寡淡 全程 黑脸 音乐 影响 心情 推荐 大家
10,个人觉得，慕名而来，果然没让我失望，厨师水平很高，主动帮忙换骨碟，很有格调，五星好评！推荐给大家！,4,1,1,个人觉得 慕名而来 果然没让我失望 厨师水平很高 主动帮忙换骨碟 很有格调 五星好评 推荐给大家,个人 觉得 慕名而来 果然 失望 厨师 水平 主动 帮忙 换骨 格调 五星 好评 推荐 大家
12,讲真，踩雷了，口感很单一，服务很不周到，卫生做得很差，不推荐大家来。推荐给大家！,1,0,49,讲真 踩雷了 口感很单一 服务很不周到 卫生做得很差 不推荐大家来 推荐给大家,讲真 口感 单一 服务 不周到 卫生 推荐 大家 推荐 大家
13,公司团建选的这里，汤底很浓郁，服务员态度特别好，很有格调，同事们都说好！～,5,1,20,公司团建选的这里 汤底很浓郁 服务员态度特别好 很有格调 同事们都说好,公司 团建 这里 汤底 浓郁 服务员 态度 特别 格调 同事 说好
